codigo,clave,descripcion,caja,master,precio,unidad,ean,precio minimo de venta,alta rotacion,precio mayoreo con IVA,precio distribuidor con IVA,precio publico con IVA,precio mayoreo sin IVA,precio distribuidor sin IVA,precio publico sin IVA,Marca,Precio Medio Mayoreo sin IVA,Precio Medio Mayoreo con IVA,Codigo SAT,Descripcion SAT,Familia,Descripcion Familia,Peso[Kg],Volumen[cm3]
43472,CEPO-11E,Cerradura tipo esfera para entrada laton brillante Hermex,3,12,235,Pieza,7.50E+12,165,0,195,165,235,168.1,142.24,202.59,Hermex,185.34,215,31162402,Cerraduras,P031,Cerraduras de pomo y cerrojos,0.58,3391.102
43473,CEPO-11R,Cerradura tipo esfera para recamara laton brillante Hermex,3,12,235,Pieza,7.50E+12,165,0,195,165,235,168.1,142.24,202.59,Hermex,185.34,215,31162402,Cerraduras,P031,Cerraduras de pomo y cerrojos,0.54,3334.776
43482,CS-90D,Cerradura sobreponer der 2 barras clasica llave tradicional,2,16,865,Pieza,7.50E+12,595,0,715,595,865,616.38,512.93,745.69,Hermex,676.72,785,31162402,Cerraduras,P032,Cerraduras de sobreponer,1.64,2386.304
43483,CS-90I,Cerradura sobreponer izq 2 barras clasica llave tradicional,2,16,865,Pieza,7.50E+12,595,0,715,595,865,616.38,512.93,745.69,Hermex,676.72,785,31162402,Cerraduras,P032,Cerraduras de sobreponer,1.66,2414.08
43484,CS-92,Cerradura de sobreponer 2 barras instala-facil llave puntos,2,16,835,Pieza,7.50E+12,575,0,689,575,835,593.97,495.69,719.83,Hermex,654.31,759,31162402,Cerraduras,P032,Cerraduras de sobreponer,1.38,2399.4
43488,CS-93,Cerradura de sobreponer 3 barras instala-facil llave puntos,2,16,835,Pieza,7.50E+12,575,0,689,575,835,593.97,495.69,719.83,Hermex,654.31,759,31162402,Cerraduras,P032,Cerraduras de sobreponer,1.36,2318.068
43489,CS-95I,Cerradura sobreponer puerta corrediza instala-facil izq.,2,24,485,Pieza,7.51E+12,335,0,405,335,485,349.14,288.79,418.1,Hermex,383.62,445,31162402,Cerraduras,P032,Cerraduras de sobreponer,0.94,1881.152
43490,CS-95D,Cerradura sobreponer puerta corrediza instala-facil der.,2,24,485,Pieza,7.51E+12,335,0,405,335,485,349.14,288.79,418.1,Hermex,383.62,445,31162402,Cerraduras,P032,Cerraduras de sobreponer,0.94,1865.217
43492,CS-60D,Cerradura sobreponer puerta corrediza mariposa derecha,2,24,525,Pieza,7.50E+12,365,0,435,365,525,375,314.66,452.59,Hermex,418.1,485,31162402,Cerraduras,P032,Cerraduras de sobreponer,1.28,1452.443
43493,CS-65D,Cerradura sobreponer puerta corrediza clasica derecha,2,24,575,Pieza,7.50E+12,395,0,475,395,575,409.48,340.52,495.69,Hermex,452.59,525,31162402,Cerraduras,P032,Cerraduras de sobreponer,1.34,1487.244
