TRUPER,,GAFI
Claves,Descripcion,Claves,Descripcion
44685 ; ARAP-3/16 ; 7506240611035,Arandela de presion 3/16' bolsa 200 piezas,194282 ; 44685,Arandela de presion pavonada 005mm 3/16 c/200pz ARAP3/16 Fie
44686 ; ARAP-1/4 ; 7506240611042,Arandela de presion 1/4' bolsa 200 piezas,194283 ; 44686,Arandela de presion pavonada 006mm 1/4 c/200pz ARAP1/4 Fiero
44687 ; ARAP-5/16 ; 7506240611059,Arandela de presion 5/16' bolsa 150 piezas,194284 ; 44687,Arandela de presion pavonada 008mm 5/16 c/150pz ARAP5/16 Fie
44688 ; ARAP-3/8 ; 7506240611066,Arandela de presion 3/8' bolsa 150 piezas,194285 ; 44688,Arandela de presion pavonada 010mm 3/8 c/150pz ARAP3/8 Fiero
44689 ; ARAP-7/16 ; 7506240611073,Arandela de presion 7/16' bolsa 100 piezas,194286 ; 44689,Arandela de presion pavonada 011mm 7/16 c/100pz ARAP7/16 Fie
44541 ; ARA-5/32 ; 7506240601807,Arandela de acero galvanizado de 5/32' bolsa de 1 kg,192218 ; 44541,Arandela plana galvanizada 004mm 5/32 c/1kg ARA5/32 Fiero
44542 ; ARA-3/16 ; 7506240601814,Arandela de acero galvanizado de 3/16' bolsa de 1 kg,192219 ; 44542,Arandela plana galvanizada 005mm 3/16 c/1kg ARA3/16 Fiero
44543 ; ARA-1/4 ; 7506240601821,Arandela de acero galvanizado de 1/4' bolsa de 1 kg,192220 ; 44543,Arandela plana galvanizada 006mm 1/4 c/1kg ARA1/4 Fiero
44544 ; ARA-5/16 ; 7506240601838,Arandela de acero galvanizado de 5/16' bolsa de 1 kg,192221 ; 44544,Arandela plana galvanizada 008mm 5/16 c/1kg ARA5/16 Fiero
44545 ; ARA-3/8 ; 7506240601845,Arandela de acero galvanizado de 3/8' bolsa de 1 kg,192222 ; 44545,Arandela plana galvanizada 010mm 3/8 c/1kg ARA3/8 Fiero
44546 ; ARA-7/16 ; 7506240601852,Arandela de acero galvanizado de 7/16' bolsa de 1 kg,192223 ; 44546,Arandela plana galvanizada 011mm 7/16 c/1kg ARA7/16 Fiero
